Plate_ID,Well_Row,Well_Col,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3
,A,1,A1,,unused,,,,
,B,1,B1,,unused,,,,
,C,1,C1,,unused,,,,
,D,1,D1,,unused,,,,
,E,1,E1,,unused,,,,
,F,1,F1,,unused,,,,
,G,1,G1,,unused,,,,
,H,1,H1,,unused,,,,
,I,1,I1,,unused,,,,
,J,1,J1,,unused,,,,
,K,1,K1,,unused,,,,
,L,1,L1,,unused,,,,
,M,1,M1,,unused,,,,
,N,1,N1,,unused,,,,
,O,1,O1,,unused,,,,
,P,1,P1,,unused,,,,
,A,2,A2,,unused,,,,
,B,2,B2,,neg_cntrl,0,Sheath_fluid,,
,C,2,C2,,neg_cntrl,0,Sheath_fluid,,
,D,2,D2,,neg_cntrl,0,Sheath_fluid,,
,E,2,E2,,neg_cntrl,0,Sheath_fluid,,
,F,2,F2,,neg_cntrl,0,Sheath_fluid,,
,G,2,G2,,neg_cntrl,0,Sheath_fluid,,
,H,2,H2,,neg_cntrl,0,Sheath_fluid,,
,I,2,I2,,neg_cntrl,0,Sheath_fluid,,
,J,2,J2,,neg_cntrl,0,Sheath_fluid,,
,K,2,K2,,neg_cntrl,0,Sheath_fluid,,
,L,2,L2,,neg_cntrl,0,Sheath_fluid,,
,M,2,M2,,neg_cntrl,0,Sheath_fluid,,
,N,2,N2,,neg_cntrl,0,Sheath_fluid,,
,O,2,O2,,unused,,,,
,P,2,P2,,unused,,,,
,A,3,A3,,unused,,,,
,B,3,B3,,pos_cntrl,10,SYBR,,
,C,3,C3,,pos_cntrl,10,SYBR,,
,D,3,D3,,pos_cntrl,10,SYBR,,
,E,3,E3,,pos_cntrl,10,SYBR,,
,F,3,F3,,pos_cntrl,10,SYBR,,
,G,3,G3,,pos_cntrl,10,SYBR,,
,H,3,H3,,pos_cntrl,10,SYBR,,
,I,3,I3,,pos_cntrl,10,SYBR,,
,J,3,J3,,pos_cntrl,10,SYBR,,
,K,3,K3,,pos_cntrl,10,SYBR,,
,L,3,L3,,pos_cntrl,10,SYBR,,
,M,3,M3,,pos_cntrl,10,SYBR,,
,N,3,N3,,pos_cntrl,10,SYBR,,
,O,3,O3,,unused,,,,
,P,3,P3,,unused,,,,
,A,4,A4,,unused,,,,
,B,4,B4,,sample,1,SYBR,,
,C,4,C4,,sample,1,SYBR,,
,D,4,D4,,sample,1,SYBR,,
,E,4,E4,,sample,1,SYBR,,
,F,4,F4,,sample,1,SYBR,,
,G,4,G4,,sample,1,SYBR,,
,H,4,H4,,sample,1,SYBR,,
,I,4,I4,,sample,1,SYBR,,
,J,4,J4,,sample,1,SYBR,,
,K,4,K4,,sample,1,SYBR,,
,L,4,L4,,sample,1,SYBR,,
,M,4,M4,,sample,1,SYBR,,
,N,4,N4,,sample,1,SYBR,,
,O,4,O4,,unused,,,,
,P,4,P4,,unused,,,,
,A,5,A5,,unused,,,,
,B,5,B5,,sample,1,SYBR,,
,C,5,C5,,sample,1,SYBR,,
,D,5,D5,,sample,1,SYBR,,
,E,5,E5,,sample,1,SYBR,,
,F,5,F5,,sample,1,SYBR,,
,G,5,G5,,sample,1,SYBR,,
,H,5,H5,,sample,1,SYBR,,
,I,5,I5,,sample,1,SYBR,,
,J,5,J5,,sample,1,SYBR,,
,K,5,K5,,sample,1,SYBR,,
,L,5,L5,,sample,1,SYBR,,
,M,5,M5,,sample,1,SYBR,,
,N,5,N5,,sample,1,SYBR,,
,O,5,O5,,unused,,,,
,P,5,P5,,unused,,,,
,A,6,A6,,unused,,,,
,B,6,B6,,sample,1,SYBR,,
,C,6,C6,,sample,1,SYBR,,
,D,6,D6,,sample,1,SYBR,,
,E,6,E6,,sample,1,SYBR,,
,F,6,F6,,sample,1,SYBR,,
,G,6,G6,,sample,1,SYBR,,
,H,6,H6,,sample,1,SYBR,,
,I,6,I6,,sample,1,SYBR,,
,J,6,J6,,sample,1,SYBR,,
,K,6,K6,,sample,1,SYBR,,
,L,6,L6,,sample,1,SYBR,,
,M,6,M6,,sample,1,SYBR,,
,N,6,N6,,sample,1,SYBR,,
,O,6,O6,,unused,,,,
,P,6,P6,,unused,,,,
,A,7,A7,,unused,,,,
,B,7,B7,,sample,1,SYBR,,
,C,7,C7,,sample,1,SYBR,,
,D,7,D7,,sample,1,SYBR,,
,E,7,E7,,sample,1,SYBR,,
,F,7,F7,,sample,1,SYBR,,
,G,7,G7,,sample,1,SYBR,,
,H,7,H7,,sample,1,SYBR,,
,I,7,I7,,sample,1,SYBR,,
,J,7,J7,,sample,1,SYBR,,
,K,7,K7,,sample,1,SYBR,,
,L,7,L7,,sample,1,SYBR,,
,M,7,M7,,sample,1,SYBR,,
,N,7,N7,,sample,1,SYBR,,
,O,7,O7,,unused,,,,
,P,7,P7,,unused,,,,
,A,8,A8,,unused,,,,
,B,8,B8,,sample,1,SYBR,,
,C,8,C8,,sample,1,SYBR,,
,D,8,D8,,sample,1,SYBR,,
,E,8,E8,,sample,1,SYBR,,
,F,8,F8,,sample,1,SYBR,,
,G,8,G8,,sample,1,SYBR,,
,H,8,H8,,sample,1,SYBR,,
,I,8,I8,,sample,1,SYBR,,
,J,8,J8,,sample,1,SYBR,,
,K,8,K8,,sample,1,SYBR,,
,L,8,L8,,sample,1,SYBR,,
,M,8,M8,,sample,1,SYBR,,
,N,8,N8,,sample,1,SYBR,,
,O,8,O8,,unused,,,,
,P,8,P8,,unused,,,,
,A,9,A9,,unused,,,,
