Plate_ID,Well_Row,Well_Col,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3
,A,1,A1,,unused,,,,
,B,1,B1,,unused,,,,
,C,1,C1,,unused,,,,
,D,1,D1,,unused,,,,
,E,1,E1,,unused,,,,
,F,1,F1,,unused,,,,
,G,1,G1,,unused,,,,
,H,1,H1,,unused,,,,
,I,1,I1,,unused,,,,
,J,1,J1,,unused,,,,
,K,1,K1,,unused,,,,
,L,1,L1,,unused,,,,
,M,1,M1,,unused,,,,
,N,1,N1,,unused,,,,
,O,1,O1,,unused,,,,
,P,1,P1,,unused,,,,
,A,2,A2,,unused,,,,
,B,2,B2,,unused,,,,
,C,2,C2,,unused,,,,
,D,2,D2,,neg_cntrl,0,Sheath_fluid,,
,E,2,E2,,neg_cntrl,0,Sheath_fluid,,
,F,2,F2,,neg_cntrl,0,Sheath_fluid,,
,G,2,G2,,neg_cntrl,0,Sheath_fluid,,
,H,2,H2,,neg_cntrl,0,Sheath_fluid,,
,I,2,I2,,neg_cntrl,0,Sheath_fluid,,
,J,2,J2,,neg_cntrl,0,Sheath_fluid,,
,K,2,K2,,neg_cntrl,0,Sheath_fluid,,
,L,2,L2,,unused,,,,
,M,2,M2,,unused,,,,
,N,2,N2,,unused,,,,
,O,2,O2,,unused,,,,
,P,2,P2,,unused,,,,
,A,3,A3,,unused,,,,
,B,3,B3,,unused,,,,
,C,3,C3,,unused,,,,
,D,3,D3,,sample,300,Rep1,BONCAT+,
,E,3,E3,,sample,300,Rep1,BONCAT+,
,F,3,F3,,sample,300,Rep1,BONCAT+,
,G,3,G3,,sample,300,Rep1,BONCAT+,
,H,3,H3,,sample,300,Rep1,BONCAT+,
,I,3,I3,,sample,300,Rep1,SYTO+,
,J,3,J3,,sample,300,Rep1,SYTO+,
,K,3,K3,,sample,300,Rep1,SYTO+,
,L,3,L3,,unused,,,,
,M,3,M3,,unused,,,,
,N,3,N3,,unused,,,,
,O,3,O3,,unused,,,,
,P,3,P3,,unused,,,,
,A,4,A4,,unused,,,,
,B,4,B4,,unused,,,,
,C,4,C4,,unused,,,,
,D,4,D4,,sample,300,Rep1,BONCAT+,
,E,4,E4,,sample,300,Rep1,BONCAT+,
,F,4,F4,,sample,300,Rep1,BONCAT+,
,G,4,G4,,sample,300,Rep1,BONCAT+,
,H,4,H4,,sample,300,Rep1,BONCAT+,
,I,4,I4,,sample,300,Rep1,SYTO+,
,J,4,J4,,sample,300,Rep1,SYTO+,
,K,4,K4,,sample,300,Rep1,SYTO+,
,L,4,L4,,unused,,,,
,M,4,M4,,unused,,,,
,N,4,N4,,unused,,,,
,O,4,O4,,unused,,,,
,P,4,P4,,unused,,,,
,A,5,A5,,unused,,,,
,B,5,B5,,unused,,,,
,C,5,C5,,unused,,,,
,D,5,D5,,sample,300,Rep1,BONCAT+,
,E,5,E5,,sample,300,Rep1,BONCAT+,
,F,5,F5,,sample,300,Rep1,BONCAT+,
,G,5,G5,,sample,300,Rep1,BONCAT+,
,H,5,H5,,sample,300,Rep1,BONCAT+,
,I,5,I5,,sample,300,Rep1,SYTO+,
,J,5,J5,,sample,300,Rep1,SYTO+,
,K,5,K5,,sample,300,Rep1,SYTO+,
,L,5,L5,,unused,,,,
,M,5,M5,,unused,,,,
,N,5,N5,,unused,,,,
,O,5,O5,,unused,,,,
,P,5,P5,,unused,,,,
,A,6,A6,,unused,,,,
,B,6,B6,,unused,,,,
,C,6,C6,,unused,,,,
,D,6,D6,,neg_cntrl,0,Reagent_only,,
,E,6,E6,,neg_cntrl,0,Reagent_only,,
,F,6,F6,,neg_cntrl,0,Reagent_only,,
,G,6,G6,,neg_cntrl,0,Reagent_only,,
,H,6,H6,,neg_cntrl,0,Reagent_only,,
,I,6,I6,,neg_cntrl,0,Reagent_only,,
,J,6,J6,,neg_cntrl,0,Reagent_only,,
,K,6,K6,,neg_cntrl,0,Reagent_only,,
,L,6,L6,,unused,,,,
,M,6,M6,,unused,,,,
,N,6,N6,,unused,,,,
,O,6,O6,,unused,,,,
,P,6,P6,,unused,,,,
,A,7,A7,,unused,,,,
,B,7,B7,,unused,,,,
,C,7,C7,,unused,,,,
,D,7,D7,,sample,300,Rep2,BONCAT+,
,E,7,E7,,sample,300,Rep2,BONCAT+,
,F,7,F7,,sample,300,Rep2,BONCAT+,
,G,7,G7,,sample,300,Rep2,BONCAT+,
,H,7,H7,,sample,300,Rep2,BONCAT+,
,I,7,I7,,sample,300,Rep2,SYTO+,
,J,7,J7,,sample,300,Rep2,SYTO+,
,K,7,K7,,sample,300,Rep2,SYTO+,
,L,7,L7,,unused,,,,
,M,7,M7,,unused,,,,
,N,7,N7,,unused,,,,
,O,7,O7,,unused,,,,
,P,7,P7,,unused,,,,
,A,8,A8,,unused,,,,
,B,8,B8,,unused,,,,
,C,8,C8,,unused,,,,
,D,8,D8,,sample,300,Rep2,BONCAT+,
,E,8,E8,,sample,300,Rep2,BONCAT+,
,F,8,F8,,sample,300,Rep2,BONCAT+,
,G,8,G8,,sample,300,Rep2,BONCAT+,
,H,8,H8,,sample,300,Rep2,BONCAT+,
,I,8,I8,,sample,300,Rep2,SYTO+,
,J,8,J8,,sample,300,Rep2,SYTO+,
,K,8,K8,,sample,300,Rep2,SYTO+,
,L,8,L8,,unused,,,,
,M,8,M8,,unused,,,,
,N,8,N8,,unused,,,,
,O,8,O8,,unused,,,,
,P,8,P8,,unused,,,,
,A,9,A9,,unused,,,,
,B,9,B9,,unused,,,,
